ASIN,Overall_Rating,Review_Count,5Star,4Star,3Star,2Star,1Star
B0DQ7HQ46F,,,0,0,0,0,0
B0DTFQGNJH,2.0,2.0,0,40,0,60,0
B0DTH54MLF,,,0,0,100,0,0
B0DNYXZY15,,,0,0,0,0,0
B0DPL7VQQV,,,0,0,0,0,0
B0DP2H226Y,,,0,0,0,0,0
B0DQ7WWDMZ,4.8,19.0,78,15,7,0,0
B0DQG5K7LB,4.4,208.0,64,23,6,4,3
B0DNPZMMRZ,4.8,8.0,63,26,0,11,0
B0DP6Y1NWG,,,0,0,0,0,0
B0DPN43Z2F,4.8,21.0,79,21,0,0,0
B0DNYPN7XR,,,0,0,100,0,0
B0DPFMD2BK,2.0,1.0,0,0,0,100,0
B0DP5B4381,4.7,28.0,73,27,0,0,0
B0DRFZJ4FR,5.0,2.0,100,0,0,0,0
B0DPWV2S8S,4.0,1.0,0,100,0,0,0
B0DQT7GW41,5.0,1.0,100,0,0,0,0
B0DP42XQMP,,,0,0,0,0,0
B0DPM9CYPH,4.5,8.0,56,44,0,0,0
B0DQCH3QWF,5.0,2.0,100,0,0,0,0
B0DT9Q538S,,,0,0,0,0,0
B0DS5QGHQ6,,,0,0,0,0,0
B0DQ8FV6C7,3.8,4.0,69,0,0,0,31
B0DTKV8F1Z,,,0,0,0,0,0
B0DSWLSHQR,5.0,2.0,62,0,0,0,38
B0DLGYQ8K4,4.4,,69,13,8,4,6
B0DQP4G1BN,4.6,11.0,83,0,17,0,0
B0DSL1M7G5,,,0,0,0,0,0
B0DSKYFNLP,,,0,0,0,0,0
B0DLHRYS69,4.3,15.0,62,19,6,0,13
B0DR87F1RZ,,,0,0,0,0,0
B0DSH7NQ9H,5.0,1.0,0,0,0,0,0
B0DSKY2J8B,,,0,0,0,0,0
B0DRFPJQ45,,,0,0,0,0,0
B0DRYP9G7L,5.0,2.0,100,0,0,0,0
B0DN2V9W51,4.7,4.0,72,28,0,0,0
B0DDLB5QHP,4.0,19.0,64,12,11,0,13
B0DJKV2SYX,,,100,0,0,0,0
B0DSJCPK7G,4.8,8.0,84,16,0,0,0
B0DQPK6MM1,,,0,0,0,0,0
B0DT6Q1XX5,3.8,10.0,38,35,7,0,20
B0DQPK98WN,4.6,5.0,49,51,0,0,0
B0DK7158G4,4.6,,75,17,5,1,2
B0DM8MGLRK,4.7,75.0,78,17,2,1,2
B0DNVNMBJ3,,,0,0,0,0,0
