ASIN,CategoryID
B0DRJ219QM,1
B0DRJ1K6YB,1
B0DP4ZY9RY,1
B0DRG3V9DY,1
B0DR7J7M6G,1
B0DR8J9L33,1
B0DQNN5GM5,1
B0DRG9SRXL,1
B0DRFVSLPG,1
B0DMJB2YGN,1
B0DMSW17LC,1
B0DMDKD748,1
B0DN9P1G8F,1
B0DQ2JK953,1
B0DMT5B4F4,1
B0DF7LLY9L,1
B0DQXRPNR8,1
B0DPVCKKT1,1
B0DQD52BD2,1
B0DJ319CYG,1
B0DKVZRX69,1
B0DPFDZKD9,1
B0DPV91YH4,1
B0DM9C7HQZ,1
B0DKK3NRM1,1
B0DN62VH29,1
B0DL5FRLK2,1
B0DRC4H5DT,1
B0DM1VYMVG,1
B0DLB54XJB,1
B0DM5FMLCC,1
B0DGLZF25C,1
B0DJ26KJ7Z,1
B0DQTFLKSZ,1
B0DP4JC2LL,1
B0DQST2J91,1
B0DPHNCRRK,1
B0DMW5ZLG1,1
B0DQSP512Y,1
B0DMNHNHN2,1
B0DMNGR8J4,1
B0DMNG2Q4G,1
B0DMNJQHXL,1
B0DMNJBG3Y,1
B0DMNJ7QM9,1
B0DP4GMRGV,1
B0DMNGNS21,1
B0DMNG25DL,1
B0DMSQ1DF5,1
B0DMSVQ1LY,1
B0DMCQ8J83,1
B0DPRC3HR8,1
B0DQZVG1MT,1
B0DL587NRX,1
B0DN6KM3V1,1
B0DK77PQVP,1
B0DPG6GQVK,1
B0DP74MWTL,1
B0DPHQDQDC,1
B0DMVNVL9R,1
B0DHTF3ZHG,1
B0DQKY83MQ,1
B0DM21DC99,1
B0DLWL3T2S,1
B0DMJZ3291,1
B0DLWM1YC7,1
B0DM1XGNBW,1
B0DM1Q53VW,1
B0DM1TQ9WC,1
B0DM15626W,1
B0DFTTHJ1X,1
B0DJVV6WZJ,1
B0DHX88CD8,1
B0DKF6KCM2,1
B0DM8SXZC2,1
B0DPZWWGF5,1
B0DHR9K33R,1
B0DQGMK8YN,1
B0DPQ4NHP4,1
B0DHJ9JMTQ,1
B0DQTGY59H,1
B0DKSW4TRF,1
B0DMLXDPTD,1
B0DR2GB5QW,1
B0DKX7HW1T,1
B0DMVTMQLY,1
B0DR27RPZM,1
B0DNJQQYXF,1
B0DKNWZSRM,1
B0DGKQ681X,1
B0DLW3MZ55,1
B0DM5V6WG9,1
B0DM6373DQ,1
B0DNRXMP1J,1
B0DK8SFZY2,1
B0DQ8C728Y,1
B0DPGSQ55D,1
B0DPGRN94D,1
B0DQYR1HRR,1
B0DPGRZ878,1
B0DDPDLFTV,1
B0DPMCHRZ4,1
B0DQXYXBJ9,1
B0DQXV7FTD,1
B0DM1SJNFL,1
B0DN1BB6C6,1
B0DN16ZSS3,1
B0DM8RYX5M,1
B0DLWDVZ9V,1
B0DM1NFVQB,1
B0DKP2JQSQ,1
B0DQXC1QTH,1
B0DQWTYQ2L,1
B0DKD8VVXP,1
B0DLL3X4GB,1
B0DQ45VK7L,1
B0DPY2CF3V,1
B0DQ61B9XG,1
B0DMXPZYRX,1
B0DPWMNR8B,1
B0DQ29FXT5,1
B0DQL7WLNX,1
B0DPXT9XCQ,1
B0DN93X7JK,1
B0CXPPXWX9,1
B0DQSC1CZY,1
B0DN4LV8BW,1
B0DPCK5SNV,1
B0DQK542BK,1
B0DQ19JWG9,1
B0DQK5JH73,1
B0DQ15B9RG,1
B0DPJ9BBC3,1
B0DQHJHS4D,1
B0DL35XS5S,1
B0DN1M8B12,1
B0DKDRR96B,1
B0DM58S3KX,1
B0DMCLN11D,1
B0DM91N7HC,1
B0DL2XHLS4,1
B0DPX3HX7G,1
B0DPN77TC4,1
B0DNYGQQVR,1
B0DN1BYRYH,1
B0DLW6YLFD,1
B0DPFZZTX4,1
B0DL5Q15WK,1
B0DQ98YGC9,1
B0DQCW985X,1
B0DQ3KYC79,1
B0D8W4TGKH,1
B0DP6L42MF,1
B0DN2771KH,1
B0DPQ24W2R,1
